UniqueKey,RECSTATUS,GlobalRecordId,FirstSaveLogonName,FirstSaveTime,LastSaveLogonName,LastSaveTime,FKEY
1,1,"c1081668-f648-4ddc-9e5e-3cbe0db34f61","CDC\mdb4","01/05/15 17:11:27","CDC\mdb4","10/13/15 15:17:17","d4234123-2322-4f46-99a8-5b936b1ec237"
2,1,"09bbb824-fb58-483e-a8c0-490d8e32e90b","ODHAUTH\Linda.Early","05/12/14 12:00:36","CDC\mdb4","10/13/15 15:17:19","1d2b35e8-6e96-49c7-8196-297bb09a225f"
3,1,"0bf42c83-8a05-477c-90dd-15b4229e0886","ODHAUTH\Linda.Early","05/08/14 13:00:14","CDC\mdb4","10/13/15 15:17:20","2c9f6565-0396-48b2-ad61-a2add289a7ae"
4,1,"0e8af352-bf33-40cc-a996-8f3a4c15345f","CDC\igc4","01/14/15 07:57:06","CDC\mdb4","10/13/15 15:17:21","0fc0b3de-c964-4b95-b110-de0636f5ce3d"
5,1,"107a3af7-e1d2-4c1b-9a17-3c659650d03d","ODHAUTH\Linda.Early","05/19/14 15:47:21","CDC\mdb4","10/13/15 15:17:23","42e789f7-4c5f-49da-ba0d-9ea6ae850720"
6,1,"1c830af7-986d-40c1-9e6f-95d7bb6c7bad","ODHAUTH\Linda.Early","05/22/14 10:19:05","CDC\mdb4","10/13/15 15:17:24","23d9ab1c-a5bf-41a5-be52-89d702cfa79a"
7,1,"21acd77b-e24d-4aed-92c2-915237145558","ODHAUTH\Linda.Early","05/14/14 12:57:45","CDC\mdb4","10/13/15 15:17:25","2885c661-4692-4ee0-a9e3-7186e69a0c27"
8,1,"4af71a66-1db9-42d2-9b1f-ea7dfa4df1d5","ODHAUTH\Linda.Early","05/05/14 16:38:50","CDC\mdb4","10/13/15 15:17:26","124fcf77-69ba-4d70-ab20-2553fa33be2e"
9,1,"518d7ba6-b99e-4704-9019-91a208deef2b","ODHAUTH\Linda.Early","05/15/14 15:58:54","CDC\mdb4","10/13/15 15:17:28","19077283-1ee3-4cc2-882a-89cf9ce87422"
10,1,"51e2e071-8037-4f7c-8899-31733fee4d5a","ODHAUTH\Linda.Early","05/06/14 16:20:45","CDC\mdb4","10/13/15 15:17:30","3ffddb8a-3ba9-4d28-ab89-1470debf0d07"
11,1,"68e84839-29dd-4e86-9719-daa3b42694dc","ODHAUTH\Linda.Early","05/27/14 10:15:06","CDC\mdb4","10/13/15 15:17:31","0e602e72-4e67-404d-9a4b-e86e6793103d"
12,1,"69560ac4-7065-4078-9e18-b439bd7f80c1","ODHAUTH\Rachel.Toukan","02/24/14 12:21:59","CDC\mdb4","10/13/15 15:17:32","443949ec-1b10-404a-afa7-a33aa45151d5"
13,1,"70f1598d-0b95-44c3-999e-b7f7945b4520","ODHAUTH\sierra.mullen","10/10/14 13:42:43","CDC\mdb4","10/13/15 15:17:34","4185c569-a057-48f5-89b1-8dc553d83914"
14,1,"77f6ca20-fcb7-460d-b7ba-c52e30dea08f","ODHAUTH\Linda.Early","05/15/14 08:43:42","CDC\mdb4","10/13/15 15:17:35","1e81721a-5a05-400a-a6e7-38857811706e"
15,1,"7a5c2a6a-7610-4428-b51d-b89909f4381f","ODHAUTH\Rachel.Toukan","02/25/14 14:51:11","CDC\mdb4","10/13/15 15:17:37","38ec5545-eac7-4505-906e-97e60e2b9e58"
16,1,"85471dde-4719-4ea5-b478-eaf67f4fdad6","ODHAUTH\Linda.Early","05/08/14 11:15:52","CDC\mdb4","10/13/15 15:17:38","35b33ab1-665a-41f9-b380-7e253539b7fb"
17,1,"93304ced-20d5-4ce8-b818-455d80aa9ea2","ODHAUTH\Linda.Early","05/09/14 12:24:37","CDC\mdb4","10/13/15 15:17:40","239dfa3e-509c-47d0-af19-3c0f5d0d427a"
18,1,"947c9cdb-80fc-4ebb-aec5-1353109643ec","ODHAUTH\Linda.Early","05/20/14 11:37:32","CDC\mdb4","10/13/15 15:17:41","23447b68-0bc8-4564-8a27-c28941bef026"
19,1,"9df265d3-7fc6-4198-9c09-0407d8804bac","ODHAUTH\Linda.Early","05/07/14 14:31:30","CDC\mdb4","10/13/15 15:17:42","15fbbce8-dead-4424-93b8-23695726aa50"
20,1,"a254a116-f19d-465f-abae-92f39b636b07","ODHAUTH\Linda.Early","05/16/14 09:47:22","CDC\mdb4","10/13/15 15:17:44","20a98b22-66e2-4fa2-9b64-59681781b21d"
21,1,"ae883f62-eb31-4f05-87bc-5884645cefba","ODHAUTH\Linda.Early","05/16/14 12:23:07","CDC\mdb4","10/13/15 15:17:45","0fa4cad4-805d-45e5-b5e7-71eb33710765"
22,1,"bc22ed05-79ef-4720-98af-dc0177d896ca","ODHAUTH\Linda.Early","05/14/14 16:43:54","CDC\mdb4","10/13/15 15:17:46","3c7687f4-3101-4b0e-a128-b0474179058e"
23,1,"dbf96fbf-a042-47f8-98e2-2c8691fa5e71","ODHAUTH\Linda.Early","05/14/14 12:30:26","CDC\mdb4","10/13/15 15:17:48","43f9f19a-c0e2-444e-a1b2-4f50dab8f0cf"
