UniqueKey,RECSTATUS,GlobalRecordId,FirstSaveLogonName,FirstSaveTime,LastSaveLogonName,LastSaveTime,FKEY
1,1,"519a01ff-93ff-454c-9661-296b8b88ccdf","CDC\mdb4","01/05/15 16:47:02","CDC\mdb4","01/05/15 16:54:23","d4234123-2322-4f46-99a8-5b936b1ec237"
2,1,"12a09a73-deef-41ba-ba69-0e56d2187859","CDC\igc4","01/16/15 07:19:53","CDC\igc4","01/16/15 07:24:44","239dfa3e-509c-47d0-af19-3c0f5d0d427a"
3,1,"382d2ae3-9a26-40b6-9dd3-33da137c0d67","CDC\igc4","01/16/15 07:54:38","CDC\igc4","01/16/15 07:54:38","23d9ab1c-a5bf-41a5-be52-89d702cfa79a"
4,1,"59b870cc-a5eb-4e04-b09e-b263b4e780ea","CDC\igc4","01/16/15 08:05:47","CDC\igc4","01/16/15 08:05:47","2c9f6565-0396-48b2-ad61-a2add289a7ae"
5,1,"9021932c-fc69-4b8c-ae96-9ccb108fa81a","OWNER-PC\Owner","01/15/15 16:44:46","OWNER-PC\Owner","01/15/15 16:44:46","3ffddb8a-3ba9-4d28-ab89-1470debf0d07"
6,1,"a38a62c4-9619-498c-8432-234a7117d176","CDC\igc4","01/16/15 07:03:48","CDC\igc4","01/16/15 07:03:48","22b011c3-57e8-4f24-9144-14d625237a38"
7,1,"bf8f6370-9b16-43b2-b14f-b94acd57c8f3","CDC\igc4","01/16/15 08:31:53","CDC\igc4","01/16/15 08:31:54","3c7687f4-3101-4b0e-a128-b0474179058e"
8,1,"f290c554-af15-46fe-b0bf-2f0dde6af521","CDC\igc4","01/16/15 08:46:43","CDC\igc4","01/16/15 08:46:43","42e789f7-4c5f-49da-ba0d-9ea6ae850720"
9,1,"8c48ea43-7455-4708-8bae-237090848cbe","AMYW\Amy","01/11/17 22:24:30","AMYW\Amy","01/11/17 22:24:30","d0e08da8-d306-4a9a-a5ff-9f1d54702091"
10,1,"9bd702c1-01dc-47db-aab2-88d923453bfe","CDC\mdb4","01/24/17 14:55:59","CDC\mdb4","01/24/17 14:55:59","09ed148b-3fa1-48e3-94e8-2c10352d077d"
11,1,"59e5b1ec-2049-440b-b175-f0c3d5c098c2","CDC\mdb4","01/24/17 14:56:00","CDC\mdb4","01/24/17 14:56:00","0e4815c5-b8ed-41c5-8cca-3c2ad8977647"
12,1,"19db5b8b-39da-4a38-babd-cf8bd63af72a","CDC\mdb4","01/24/17 14:56:00","CDC\mdb4","01/24/17 14:56:01","155bbe34-10cf-4c3e-8645-14fc1a418c5b"
13,1,"6b84270b-6fee-4111-a103-b307b76484a7","CDC\mdb4","01/24/17 14:56:01","CDC\mdb4","01/24/17 14:56:01","248fc455-a282-49c7-9848-b637b2add0c4"
14,1,"9768cf5b-9e30-4b8d-8d67-f0574831dac1","CDC\mdb4","01/24/17 14:56:02","CDC\mdb4","01/24/17 14:56:02","33eef076-f753-4eb7-82fb-83fe4280557e"
15,1,"6c2c024a-9d60-4072-b1fc-9de6088d64a9","CDC\mdb4","01/24/17 14:56:03","CDC\mdb4","01/24/17 14:56:03","485f2e0e-0bf0-4862-a0e8-04d604c47fd1"
16,1,"66e6daaf-94e7-468c-a9fd-895008357cf5","CDC\mdb4","01/24/17 14:56:03","CDC\mdb4","01/24/17 14:56:04","76b0d997-3a90-4f09-8cc4-c49412b4b412"
17,1,"45b7efd9-8ac6-4833-9df4-966cbcba5806","CDC\mdb4","01/24/17 14:56:04","CDC\mdb4","01/24/17 14:56:04","7e965ed0-b13f-4331-9b13-3e5fab99beb5"
